dir,entry_time,entry,sl,risk,exit_time,exit,r,outcome,full_sl
Short,2025-11-18 18:00:00,4044.04,4060.246000417444,16.206000417444198,2025-11-18 18:15:00,4060.246000417444,-1.0055534985611272,SL,True
Long,2025-11-19 04:35:00,4071.77,4063.094877938713,8.675122061287041,2025-11-19 07:20:00,4089.120244122574,1.9850146200731813,TP4,False
Long,2025-11-19 07:30:00,4095.36,4086.738274139339,8.621725860661384,2025-11-19 09:05:00,4086.738274139339,-1.0104387452644992,SL,True
Short,2025-11-19 09:05:00,4087.05,4095.2053585834346,8.155358583434424,2025-11-19 09:40:00,4095.2053585834346,-1.0245237530580553,SL,True
Long,2025-11-19 16:00:00,4115.16,4104.971617920886,10.188382079114033,2025-11-19 16:30:00,4104.971617920886,-1.019630202170131,SL,True
Short,2025-11-20 10:00:00,4048.65,4060.2544931860225,11.604493186022559,2025-11-20 10:55:00,4060.2544931860225,-1.0137877628462542,SL,True
Long,2025-11-20 15:35:00,4092.77,4077.236704918839,15.533295081160633,2025-11-20 15:45:00,4077.236704918839,-1.009656676140921,SL,True
Long,2025-11-20 16:45:00,4102.93,4083.8874082139155,19.04259178608475,2025-11-20 17:05:00,4083.8874082139155,-1.0063016632057278,SL,True
Short,2025-11-21 04:15:00,4066.37,4076.5648782381186,10.194878238118555,2025-11-21 04:30:00,4076.5648782381186,-1.0196176938388863,SL,True
Short,2025-11-21 06:10:00,4055.28,4065.1752229551144,9.89522295511404,2025-11-21 08:25:00,4035.489554089772,1.9797882270154998,TP4,False
Long,2025-11-21 10:20:00,4039.22,4026.019777748196,13.200222251803904,2025-11-21 14:45:00,4065.620444503608,1.9840911769518808,TP4,False
Long,2025-11-21 16:45:00,4067.68,4055.038927376431,12.641072623568824,2025-11-21 18:50:00,4092.9621452471374,1.9833874856783487,TP4,False
Short,2025-11-24 07:45:00,4041.98,4050.372726571201,8.392726571200924,2025-11-24 08:00:00,4050.372726571201,-1.0238301579711022,SL,True
Long,2025-11-24 12:40:00,4070.35,4062.0941077156035,8.255892284396337,2025-11-24 16:35:00,4071.88,0.17320962419808997,REV,False
Short,2025-11-24 16:35:00,4071.88,4080.996715412451,9.116715412450853,2025-11-24 16:50:00,4080.996715412451,-1.0219377254802713,SL,True
Long,2025-11-24 20:35:00,4111.51,4103.283398223499,8.226601776501285,2025-11-24 22:30:00,4127.963203553003,1.9744730563475676,TP4,False
Long,2025-11-25 01:55:00,4143.87,4136.053228536426,7.816771463574011,2025-11-25 02:15:00,4136.053228536426,-1.0294239125541242,SL,True
Short,2025-11-25 03:15:00,4124.83,4134.051063344198,9.221063344198159,2025-11-25 03:35:00,4134.051063344198,-1.0216894725190135,SL,True
Long,2025-11-25 04:15:00,4145.66,4135.739352785916,9.920647214083823,2025-11-25 09:25:00,4135.739352785916,-1.0201599750181927,SL,True
Short,2025-11-25 10:30:00,4129.51,4137.7748541851215,8.264854185121067,2025-11-25 10:50:00,4112.980291629758,1.9770110886721273,TP4,False
Long,2025-11-26 03:35:00,4149.18,4142.291289195106,6.88871080489361,2025-11-26 04:25:00,4162.957421609787,1.9709669914059575,TP4,False
Long,2025-11-26 04:25:00,4162.5,4154.7944877257205,7.7055122742794895,2025-11-26 08:15:00,4154.7944877257205,-1.022062128246484,SL,True
Short,2025-11-26 08:30:00,4152.76,4159.643545219749,6.883545219748993,2025-11-26 09:50:00,4159.643545219749,-1.0305075354771522,SL,True
Short,2025-11-26 16:25:00,4142.04,4152.957672742511,10.91767274251117,2025-11-26 16:35:00,4152.957672742511,-1.0183189224220954,SL,True
Short,2025-11-27 11:10:00,4155.25,4161.331951925524,6.081951925523534,2025-11-27 13:40:00,4161.331951925524,-1.0328841796925259,SL,True
Long,2025-11-28 02:30:00,4180.11,4175.328778600895,4.7812213991047345,2025-11-28 03:00:00,4189.672442798209,1.981176357987309,TP4,False
Short,2025-11-28 05:15:00,4186.33,4191.975096201173,5.645096201173472,2025-11-28 07:05:00,4175.039807597653,1.9627995710762043,TP4,False
Short,2025-11-28 10:20:00,4157.99,4164.316758691758,6.3267586917579015,2025-11-28 10:30:00,4164.316758691758,-1.357212928469118,SL,True
Long,2025-11-28 12:05:00,4169.84,4160.002808620112,9.837191379888518,2025-11-28 16:10:00,4189.514382759778,1.9908510471613308,TP4,False
Long,2025-11-28 18:25:00,4209.56,4199.214978719983,10.345021280017036,2025-12-01 01:00:00,4230.250042560035,1.9893668657586734,TP4,False
Short,2025-12-01 01:05:00,4209.28,4219.00507835068,9.72507835068039,2025-12-01 01:20:00,4219.00507835068,-1.0092544241552508,SL,True
Long,2025-12-01 02:50:00,4233.04,4223.7376019642825,9.302398035717362,2025-12-01 03:05:00,4223.7376019642825,-1.0096749246435772,SL,True
Long,2025-12-01 03:50:00,4246.07,4233.815644544187,12.254355455812295,2025-12-01 05:10:00,4233.815644544187,-1.0081603639098518,SL,True
Short,2025-12-02 03:00:00,4216.04,4224.06761908779,8.027619087790292,2025-12-02 03:05:00,4199.984761824419,1.9738403133353215,TP4,False
Short,2025-12-02 10:40:00,4212.53,4219.671039189026,7.141039189025862,2025-12-02 11:25:00,4198.247921621948,1.9705925153970894,TP4,False
Long,2025-12-02 15:55:00,4212.29,4203.820316800635,8.469683199364686,2025-12-02 16:25:00,4229.229366398729,1.988193182950749,TP4,False
Short,2025-12-02 17:15:00,4197.98,4210.41626997571,12.436269975710452,2025-12-02 17:50:00,4173.107460048579,1.9831139079152742,TP4,False
